"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",6867.85393198611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",6113.85393198611,540.226588884414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",6660.016922687,618.321856554342,301.043567255329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",6769.97355012014,727.746981214171,426.520347670145,241.21155420322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6624.53160564716,898.805354613678,598.510187905696,393.473191044016,334.942541852151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",6793.26226443638,933.422016752457,619.582277913802,423.198979741786,343.132949381151,178.219911151061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",6850.34501741192,1020.09906732321,702.410650360411,501.078033856052,424.843636912594,250.11486392392,173.851580007785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",6723.89146958812,1001.80893199935,678.687491417296,492.751164832709,418.791883159327,246.936874173729,177.480966498332,116.600063926173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",6873.19335203813,1059.86783550996,737.397523901512,542.697911590796,464.218604149164,300.344774389305,226.284002215928,168.844892514203,138.249019805493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",6887.91540075115,1087.09304709423,764.694621053389,574.192292614114,491.986143193029,318.761658060079,248.992506595095,191.661607989948,158.162505293923,109.32531257047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",6941.87551489039,1143.87151917548,820.817100643543,628.607284033644,550.480792478454,380.986070150742,310.782779441304,246.703048182444,207.822163313901,146.95687676134,112.329197372905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",6966.22377332449,1166.94839861893,845.142759118475,651.361838377782,574.051733869473,404.524748036295,330.715039969194,272.42405219692,231.641507781188,172.991633896383,135.373048945586,102.068142830755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",6986.31246451748,1189.38112212749,866.389820223521,674.827208895291,596.02690050408,425.843697204061,354.528024892365,289.66379964374,250.496529470413,195.872217799988,156.24908699679,122.109922868237,95.1316228133795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",7025.16339821044,1228.98141327554,906.72013239766,714.372861155223,635.851396677659,464.834665992958,393.626718048239,329.93084855712,289.104875910797,232.195608440302,192.359701371356,152.218920049041,121.108969474459,92.222342146736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
