"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,-0.0013262599469496,0.0013262599469496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.000702247191011236,0.00210674157303371,-0.00561797752808989,0.00140449438202247,0.000702247191011236,0,0.000702247191011236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0.00198216055500496,0.00297324083250743,-0.00743310208126858,0.00148662041625372,0.000495540138751239,0.000495540138751239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0.0011001100110011,0.0011001100110011,0.0033003300330033,-0.00715071507150715,0.00055005500550055,0.00055005500550055,0.00055005500550055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.000269106566200215,0.000269106566200215,0.000269106566200215,0.00215285252960172,0.000538213132400431,-0.00726587728740581,0.00215285252960172,0.00107642626480086,0.000269106566200215,0.000269106566200215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0.000298953662182362,0.000597907324364724,0.00149476831091181,0.00179372197309417,0.0038863976083707,-0.0128550074738416,0.00269058295964126,0.000298953662182362,0.00149476831091181,0.000298953662182362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0.000200400801603206,0.000801603206412826,0.000601202404809619,0.00200400801603206,0.00280561122244489,-0.00861723446893788,0.000801603206412826,0.000801603206412826,0.000200400801603206,0.000400801603206413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0.000206654267410622,0,0.000826617069642488,0.000413308534821244,0.000619962802231866,0.00227319694151684,0.00247985120892746,0.0037197768133912,-0.0132258731142798,0.00103327133705311,0.000826617069642488,0.000619962802231866,0.000206654267410622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0.000308928019771393,0.000617856039542787,0.000617856039542787,0.00108124806919988,0.00200803212851406,0.00216249613839975,0.00216249613839975,-0.0123571207908557,0.00154464009885697,0.000154464009885697,0.00092678405931418,0.000308928019771393,0.000154464009885697,0.000308928019771393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0.00030016509079994,0,0.00075041272699985,0.0015008254539997,0.00135074290859973,0.00165090799939967,0.00210115563559958,0.00375206363499925,-0.0153084196307969,0.00210115563559958,0.00060033018159988,0.00075041272699985,0,0.00045024763619991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0.000121832358674464,0.000121832358674464,0.000121832358674464,0.000365497076023392,0.000243664717348928,0.00109649122807018,0.00158382066276803,0.00353313840155945,0.00316764132553606,-0.0135233918128655,0.00146198830409357,0.000974658869395711,0.000243664717348928,0.000243664717348928,0,0.000121832358674464,0,0.000121832358674464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
